feature,importance,method
numeric__origin_has_insufficient_balance,3.246975477603378,mean_absolute_shap
numeric__amount_to_orig_balance,2.9867638490171227,mean_absolute_shap
numeric__step,0.20082309216882743,mean_absolute_shap
numeric__old_balance_orig,0.18174969923752843,mean_absolute_shap
categorical__type_PAYMENT,0.16579601037408714,mean_absolute_shap
categorical__type_CASH_IN,0.12787171130062558,mean_absolute_shap
numeric__old_balance_dest,0.12165959643823936,mean_absolute_shap
numeric__amount_to_dest_balance,0.12051733228062968,mean_absolute_shap
numeric__amount,0.07120863713178364,mean_absolute_shap
numeric__hour_of_day,0.033405645030304375,mean_absolute_shap
numeric__origin_balance_is_zero,0.02028512091190211,mean_absolute_shap
categorical__type_CASH_OUT,0.013357893072498458,mean_absolute_shap
categorical__type_TRANSFER,0.005184344187931551,mean_absolute_shap
numeric__day_index,0.00022903797433782916,mean_absolute_shap
numeric__destination_balance_is_zero,1.5903894856095875e-06,mean_absolute_shap
categorical__type_DEBIT,1.1586495999990484e-07,mean_absolute_shap
numeric__log_amount,0.0,mean_absolute_shap
numeric__destination_is_merchant,0.0,mean_absolute_shap
